"","log_e[1]","log_e[2]","log_e[3]","log_b[1]","log_b[2]","log_b[3]","e[1]","e[2]","e[3]","b[1]","b[2]","b[3]","lp__"
"5237",3.29121954547428,3.57870451307882,3.80620504537993,0.610720911389113,0.582461598857956,0.931161530194264,26.8756197184809,35.827097234121,44.9794197099607,1.84175866510112,1.79044035657649,2.53745479693701,-137.50353574069
"5238",3.24316392085296,3.22587812382114,3.71298946168094,0.846416843645545,0.650567716790998,0.704501039432469,25.6146363582551,25.1756718092894,40.9761201509772,2.3312785328925,1.91662862245645,2.02283711712005,-139.848197925255
"5239",3.36592509171429,3.8758370654156,3.8178826011872,0.573608104157779,0.337025101500751,0.710298410211151,28.960275822052,48.2230472464702,45.5077481826214,1.77465866700738,1.40077422483249,2.03459831297882,-140.059194365987
"5240",3.15205642044993,4.03801969019772,3.7715422267427,0.50096241821472,0.428132967948726,0.596310136944271,23.3841027177423,56.7139203941254,43.4470183474191,1.65030879389013,1.5343900921069,1.81540782045847,-143.670487265538
"5241",3.11282354580867,3.57520021930094,3.43717812353881,0.72379805238638,0.654872162104933,0.556515331779411,22.4844407057573,35.7017682831896,31.09907647911,2.06225089218662,1.92489642693941,1.74458260426566,-140.97663840744
"5242",3.18481695308881,3.66103499077123,3.62992745489353,0.585865769557314,0.600957990981261,0.627860294426646,24.1628650632025,38.9015848239943,37.7100808361201,1.79654570710907,1.82386521015691,1.87359734054909,-138.310137339007
"5243",3.34836278511368,3.56628422304652,3.86845256988607,0.820029087685757,0.431395077877569,0.665940460610287,28.4561067235042,35.3848662986943,47.8682559592476,2.27056588207873,1.5394036141452,1.94632009826689,-137.128560478621
"5244",3.45829775647475,3.74161869790334,3.66813867307364,0.59297725609072,0.432433071304281,0.806950957375727,31.7628623432186,42.1661892753993,39.1789131837069,1.80936735416102,1.54100233456484,2.24106445781708,-138.842485431776
"5245",3.26968723308231,3.56913459456861,3.63769510910218,0.730408892646572,0.532209626769054,0.772986178845996,26.303111313554,35.4858701948348,38.0041403018179,2.07592926636897,1.70269046545938,2.1662253412797,-136.887689210793
"5246",3.44482202083861,3.59878834303937,3.75288365561364,0.634449451520778,0.431813274744369,0.619237281962786,31.337705491761,36.5539167924849,42.6438751183127,1.88598353021765,1.54004752254423,1.85751074446679,-137.627392056016
"5247",3.15610792860183,3.41054801711071,3.85045856550369,0.823610373792627,0.544789559184009,0.911831218742307,23.4790357817112,30.2818346766152,47.0146175709507,2.27871200622097,1.72424549256594,2.48887603933014,-138.257509611743
"5248",3.43311208484124,3.31056687947023,3.72674119810932,0.424817022982721,0.305602426820741,0.688570781271891,30.9728831580101,27.4006539382914,41.5435052790176,1.52931056537496,1.35744251651503,1.99086811294235,-140.788247395212
"5249",3.40358484072235,3.69432462617124,3.67139591367338,0.803366620735039,0.787595518284184,0.798782684149124,30.0717093393,40.2184009580588,39.3067363928428,2.23304610718539,2.19810476423809,2.22283339054222,-139.741779160872
"5250",3.02321826827842,3.60512292229138,3.6370196799241,0.806720199394698,0.35031896403841,0.683576382468694,20.5573443888556,36.7862054239996,37.9784798634501,2.24054737397034,1.4195202523036,1.98094971246255,-139.861547818194
"5251",3.0040850323325,3.52778696432858,3.84251786734988,0.858360076529542,0.497333229133362,0.693424148969075,20.1677548079592,34.0485335570894,46.6427670144245,2.35928846696529,1.64433036621851,2.00055401353684,-139.544470102683
"5252",3.12383004805606,3.46453922148557,3.85272229580719,0.34828614687733,0.667222035078211,0.961427348026299,22.7332826806758,31.9617291015488,47.1211665390167,1.41663755816196,1.94881605144455,2.61542693492984,-141.698657462496
"5253",3.30024400151622,3.51166503404263,3.77385513725755,0.764726867572005,0.596391004160974,0.51324648861084,27.119255252828,33.5040066791739,43.5476237137488,2.14840749475554,1.81555463337219,1.67070632917366,-137.628044053946
"5254",3.2990170593434,3.4757626222822,3.78035950284506,0.605722831314473,0.372410245427123,0.995570520370142,27.0860018990054,32.3224689747988,43.8317965590196,1.83257637384335,1.45122821892858,2.70626788188058,-138.387476953037
"5255",3.24538319556787,3.53568064890825,3.71779048607913,0.75820427495352,0.579947838174246,0.396069114454889,25.671545398096,34.3183655245028,41.1733205066386,2.13443990984183,1.78594527015439,1.48597201614825,-138.994828600216
"5256",3.4832675066916,3.41126440538299,3.68544341722162,0.69393992980354,0.313135982194112,0.560358099734906,32.5659579035733,30.3035360001993,39.8627943810831,2.00158612710465,1.36770750224999,1.75129952791688,-139.199417959985
"5257",3.09249622301116,3.67927731409945,3.71603237208818,0.492313742505568,0.504659437529723,0.925507849162049,22.0320061915405,39.6177525332337,41.1009967111697,1.63609735197212,1.65642130945879,2.52314931430452,-139.464669642467
"5258",3.45426153881914,3.4029458814544,3.80059822882118,0.906218126572529,0.50329697583253,0.486799698565605,31.6349188949329,30.05250087928,44.7279340305801,2.4749448837296,1.65416603558125,1.62710066613889,-139.439803706679
"5259",3.26680214222194,3.63500067776953,3.66931254638316,0.604649641607114,0.340856401578389,0.830371501229706,26.2273338125544,37.9018785858718,39.2249312686058,1.8306107266858,1.40615130525572,2.29417086926999,-138.011495474597
